imagem_url,legenda_pt,categoria,legenda_kanji,legenda_hiragana,legenda_romaji,descricao,credito_imagem,fonte_url,ordem
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/warning/warning-steep-descent.png,Aviso de descida íngreme,Declive,,,,"Esta placa de trânsito indica um aviso de descida íngreme . Ela alerta os motoristas sobre uma forte descida à frente, o que pode exigir uso extra dos freios e redução de marcha para manter o controle. Os motoristas devem reduzir a velocidade e trocar para uma marcha mais baixa antes da descida, utilizando o freio-motor. Atenção redobrada com veículos pesados ou rebocados, que podem precisar de maior distância para frear. Locais comuns: estradas de montanha, áreas íngremes, pontes ou vias elevadas.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#warning-steep-descent,15
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/warning/warning-traffic-lights.png,Aviso de semáforo,Aviso de semáforo; Semáforos,,,,"Esta placa de trânsito indica um aviso de semáforo . Ela alerta os motoristas sobre a presença de semáforo à frente, especialmente em locais onde o sinal pode ser inesperado ou de difícil visualização. Os motoristas devem estar preparados para parar em um cruzamento controlado por sinalização. Locais comuns: cruzamentos escondidos ou inesperados, após curvas ou subidas, sinais temporários em zonas de obras.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#warning-traffic-lights,16
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/warning/warning-train-crossing.png,Aviso de passagem de nível sem barreiras,Passagem de nível; Barreiras,,,,"Esta placa de trânsito indica um aviso de passagem de nível sem barreiras . Ela alerta os motoristas sobre uma passagem de nível à frente onde os trilhos cruzam a via, e não há barreiras ou portões para parar o trânsito. Os motoristas devem reduzir a velocidade e olhar para ambos os lados em busca de trens.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#warning-train-crossing,17
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/warning/warning-train-rail.png,Aviso de passagem de nível com 1 linha férrea,Passagem de nível,,,,"Este sinal de trânsito indica um aviso de passagem de nível com 1 linha férrea . Ele alerta os motoristas para uma passagem de nível onde uma única linha de trem cruza a estrada. Os motoristas devem se aproximar com cautela e estar preparados para parar, mesmo que não haja barreiras ou semáforos.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#warning-train-rail,18
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/warning/warning-tram.png,Aviso para bondes,Bonde,,,,Esta placa de trânsito indica um alerta para bondes . Ela alerta os usuários da via para a presença ou travessia de bondes à frente. Os motoristas devem reduzir a velocidade e estar preparados para bondes que cruzem ou compartilhem a pista. Dê preferência quando necessário (os bondes geralmente têm prioridade). Atenção aos trilhos embutidos na via e a bondes que possam se aproximar silenciosamente.,© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#warning-tram,19
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/warning/warning-two-way-traffic.png,Aviso de via de mão dupla,Mão dupla,,,,"Esta placa de trânsito indica um aviso de trânsito em mão dupla . Ela alerta os motoristas que estão entrando ou se aproximando de um trecho com tráfego nos dois sentidos, geralmente após trafegar em via de mão única ou dividida. Os motoristas devem estar atentos ao tráfego em sentido contrário e evitar ultrapassagens, a menos que seja claramente seguro.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#warning-two-way-traffic,20
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/prohibitory/prohibited-access.png,Acesso proibido,Proibido veículos,,,,Este sinal de trânsito indica que acesso é proibido . O sinal “Acesso Proibido” indica que todos os veículos (e às vezes todos os usuários) não podem entrar em uma rua ou área.,© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#prohibited-access,21
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/prohibitory/prohibited-access-cyclist.png,Ciclistas proibidos,Ciclista,,,,"Esta placa de trânsito indica que ciclistas são proibidos . Significa que bicicletas (ciclistas) não podem entrar ou utilizar a via após este ponto. Outros veículos (carros, pedestres, etc.) podem ser permitidos, a menos que haja restrições separadas.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#prohibited-access-cyclist,22
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/prohibitory/prohibited-access-entry.png,Sentido proibido (via de mão única),Tráfego em sentido único,,,,"Esta placa de trânsito indica que a direção é proibida para todos os condutores, a via tem sentido único. A placa ""Direção Proibida"" significa que a entrada por esta direção não é permitida — proíbe o trânsito de entrar em uma rua ou estrada. Nenhum veículo pode entrar por esse lado. Os veículos podem sair pela outra extremidade (geralmente é uma rua de mão única no sentido oposto).",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#prohibited-access-entry,23
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/prohibitory/prohibited-access-motorcycle.png,Motocicletas proibidas,Motocicleta,,,,"Esta placa de trânsito indica que motocicletas são proibidas . Significa que motocicletas não podem passar da placa. Outros veículos (carros, ciclomotores, bicicletas, etc.) ainda podem ser permitidos, salvo restrição em contrário.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#prohibited-access-motorcycle,24
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/prohibitory/prohibited-access-motorcycle-car.png,Motocicletas e carros proibidos,Motocicleta; Carro,,,,"Esta placa de trânsito indica que motocicletas e carros são proibidos . Significa que motocicletas e automóveis não podem passar deste ponto. Outros usuários da via (como ciclomotores, bicicletas, pedestres ou tratores) ainda podem ser permitidos, salvo restrição em contrário.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#prohibited-access-motorcycle-car,25
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/prohibitory/prohibited-action-overtaking.png,Ultrapassagem proibida,Ultrapassagem,,,,"Esta placa de trânsito indica ultrapassagem proibida . Significa que é proibida a ultrapassagem de veículos automotores com mais de duas rodas. Ainda pode ser permitida a ultrapassagem de: bicicletas, ciclomotores, ...",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#prohibited-action-overtaking,26
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/prohibitory/prohibited-action-speed.png,Início de limite de velocidade,Limite de velocidade,,,,"Esta placa de trânsito indica o início de um limite de velocidade . Significa o começo de um limite máximo de velocidade que deve ser respeitado a partir daquele ponto, sendo proibido ultrapassar a velocidade indicada. Este limite se mantém até: aparecer uma nova placa de limite de velocidade ou uma placa de “fim de limite de velocidade”.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#prohibited-action-speed,27
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/prohibitory/prohibited-action-turn-u.png,Retorno proibido,Proibição de virar; Retorno,,,,"Esta placa de trânsito indica que é proibido fazer retorno . Significa que retornos (U-turns) não são permitidos no local ou a partir do local onde a placa está instalada. Você ainda pode virar à esquerda ou à direita, ou seguir em frente (a menos que existam outras restrições).",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#prohibited-action-turn-u,28
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/prohibitory/prohibited-cargo-height.png,Veículos com altura superior à indicada proibidos,Limite de altura,,,,"Esta placa de trânsito indica que veículos mais altos que o indicado são proibidos . Isso significa que veículos com altura superior ao limite especificado não podem passar além deste ponto devido às restrições de altura, como: pontes, túneis, viadutos ou estruturas baixas. Veículos com altura igual ou inferior ao limite são permitidos.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#prohibited-cargo-height,29
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/prohibitory/prohibited-cargo-weight.png,Veículos com peso superior ao indicado proibidos,Limite de peso,,,,Esta placa de trânsito indica que veículos mais pesados que o indicado são proibidos . Isso significa que veículos com peso total superior ao limite indicado não podem passar além deste ponto. Geralmente usada em pontes e outras estruturas que não suportam veículos pesados ou para evitar que caminhões pesados usem estradas inadequadas. Veículos mais leves (dentro do limite) são permitidos.,© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#prohibited-cargo-weight,30
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/prohibitory/prohibited-cargo-width.png,Veículos com largura superior à indicada proibidos,Limite de largura,,,,"Este sinal de trânsito indica veículos mais largos que o indicado são proibidos . Significa que veículos com largura superior à especificada não podem seguir além deste ponto, geralmente para evitar bloqueios ou danos em espaços estreitos. Veículos com largura igual ou menor ao limite são permitidos. Comum em: ruas estreitas, cidades históricas, túneis ou pistas com largura limitada.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#prohibited-cargo-width,31
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/prohibitory/prohibited-parking.png,Proibido estacionar,Proibido estacionar,,,,"Esta placa de trânsito indica que é proibido estacionar . Significa que não é permitido estacionar no local onde a placa está instalada. Aplica-se a todos os veículos, salvo exceções especificadas. Paradas temporárias (sem sair do veículo) podem ser permitidas.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#prohibited-parking,32
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/prohibitory/prohibited-parking-stopping.png,Parar e estacionar proibido,Proibido estacionar; Proibido parar; Estacionamento,,,,"Esta placa de trânsito indica que estacionar e parar é proibido . Significa que tanto estacionar quanto parar são estritamente proibidos na área onde a placa está instalada. Proibido parar: você não pode nem mesmo fazer uma breve parada com o veículo (nem para embarque ou desembarque de passageiros). Proibido estacionar: também não é permitido estacionar, pois inclui parar. Violações podem resultar em multas ou remoção do veículo.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#prohibited-parking-stopping,33
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/mandatory/mandatory-direction-ahead-turn-right.png,Conversão à direita obrigatória,Direção obrigatória,,,,Esta placa de trânsito indica que virar à direita é obrigatório . Isso significa que todo o tráfego deve virar à direita no próximo cruzamento. Seguir em frente ou à esquerda não é permitido.,© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#mandatory-direction-ahead-turn-right,34
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/mandatory/mandatory-direction-pass-left.png,Ultrapassagem obrigatória à esquerda,Direção obrigatória,,,,"Esta placa de trânsito indica que ultrapassar pela esquerda é obrigatório . Significa que todo o tráfego deve passar pela esquerda de um obstáculo, ilha de trânsito ou obra. Passar pela direita não é permitido, salvo indicação contrária. Comum próximo a canteiros centrais, ilhas ou zonas de obras.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#mandatory-direction-pass-left,35
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/mandatory/mandatory-direction-roundabout.png,Sentido obrigatório na rotatória,Rotatória; Direção obrigatória,,,,"Esta sinalização de trânsito indica a obrigatoriedade de sentido na rotatória . É obrigatório entrar e circular na rotatória na direção indicada. É proibido virar à esquerda, à direita ou seguir em frente sem respeitar o traçado da rotatória.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#mandatory-direction-roundabout,36
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/mandatory/mandatory-directions-right-up.png,Seguir em frente ou virar à direita obrigatório,Direção obrigatória,,,,"Esta placa de trânsito indica que seguir em frente ou virar à direita é obrigatório . Significa que o trânsito só pode seguir em frente ou virar à direita — virar à esquerda é proibido. Isso ajuda a regular o tráfego nos cruzamentos, especialmente próximo a ruas de mão única ou áreas restritas.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#mandatory-directions-right-up,37
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/mandatory/mandatory-direction-up.png,Seguir em frente obrigatório,Direção obrigatória,,,,"Esta placa de trânsito indica que seguir em frente é obrigatório , virar à esquerda ou à direita não é permitido. Significa que os veículos devem seguir em frente — virar à esquerda ou à direita não é permitido.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#mandatory-direction-up,38
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/mandatory/mandatory-lane-cyclist.png,Caminho obrigatório para ciclistas,Ciclovia,,,,Esta placa de trânsito indica o início de um caminho para ciclistas . Significa que os ciclistas devem utilizar a ciclovia designada e não podem circular na via principal junto com veículos motorizados. Garante a segurança dos ciclistas e o fluxo suave do trânsito.,© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs#mandatory-lane-cyclist,39
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/mandatory/mandatory-lane-pedestrian-cyclist.png,Caminho compartilhado obrigatório para pedestres e ciclistas,Caminho de uso compartilhado; Calçada; Ciclovia,,,,"Esta placa de trânsito indica o início de um caminho compartilhado para pedestres e ciclistas . Significa que um caminho específico é compartilhado por pedestres e ciclistas, e ambos devem utilizá-lo. O caminho não é dividido. Em vez disso, é um espaço comum onde os usuários devem ser cautelosos e compartilhar com responsabilidade.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs-1#mandatory-lane-pedestrian-cyclist,40
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/mandatory/mandatory-speed-minimum.png,Início de velocidade mínima,Velocidade mínima,,,,"Esta placa de trânsito indica o início de uma velocidade mínima . Significa que todos os veículos devem trafegar a uma velocidade igual ou superior ao mínimo especificado — dirigir mais devagar é proibido, exceto se o trânsito, o clima ou emergências justificarem. Destinada a evitar que veículos lentos atrapalhem o tráfego. Exceções são permitidas em caso de perigo, congestionamento ou más condições. Locais comuns: rodovias, túneis, faixas de alta velocidade ou vias expressas.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs-1#mandatory-speed-minimum,41
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/information/information-detour-directions-overview.png,Desvio para veículos não autorizados a passar,Desvio,,,,"Esta sinalização de trânsito indica um desvio para veículos não autorizados a seguir . Um desvio para veículos não autorizados a seguir é uma rota especialmente indicada para motoristas cujos veículos são proibidos de continuar em determinada via — devido a restrições de peso, altura, largura, emissões ou tipo.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs-1#information-detour-directions-overview,42
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/information/information-lane-bus.png,Faixa para ônibus,Faixa de ônibus; Ônibus,,,,"Esta placa de trânsito indica o início de uma faixa para ônibus . Uma faixa para ônibus (também chamada de corredor de ônibus) é uma faixa de trânsito reservada exclusivamente ou prioritariamente para ônibus, visando melhorar a eficiência do transporte público e reduzir congestionamentos. Sinalizada por placas e marcações (“ÔNIBUS” frequentemente pintado na faixa). Às vezes compartilhada com táxis, bicicletas ou veículos de emergência.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs-1#information-lane-bus,43
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/information/information-lane-cyclist.png,Faixa para ciclistas,Rua de ciclistas; Ciclista,,,,"Esta sinalização de trânsito indica uma faixa para ciclistas . Uma faixa para ciclistas (também chamada de ciclovia ou ciclofaixa) é uma parte da via destinada exclusivamente ao tráfego de bicicletas, aumentando a segurança e o fluxo.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs-1#information-lane-cyclist,44
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/information/information-lane-direction.png,Visão geral das faixas e suas direções,Faixa,,,,"Este sinal de trânsito fornece uma visão geral das faixas e suas direções . Escolha a faixa que indica seu destino. Um sinal de visão geral das faixas (também chamado de sinal de canalização ou guia de faixas) oferece ao motorista o layout visual das faixas à frente, mostrando como se dividem, juntam ou continuam — especialmente antes de cruzamentos complexos, saídas de rodovias ou túneis.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs-1#information-lane-direction,45
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/information/information-parking.png,Estacionamento permitido,Estacionamento,,,,"Este sinal de trânsito indica que é permitido estacionar . Estacionar permitido significa que os motoristas podem parar e deixar o veículo em uma área designada por um período, seguindo as regras e regulamentos locais. O estacionamento pode ser gratuito ou pago, geralmente regulamentado por: sinais, parquímetros ou autorizações.",© via Wikimedia.org,https://traffic-rules.com/pt-jp/livro/traffic-signs-1#information-parking,46
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/additional/A0080-additional-handcarts.png,Para carrinhos de mão,Carrinho de mão,,,,"O sinal suplementar para carrinhos de mão é um painel de trânsito colocado abaixo de uma placa principal para indicar que a regulamentação da placa se aplica especificamente a carrinhos de mão. Limita o significado da placa principal apenas às pessoas que utilizam carrinhos de mão, como pequenos carrinhos puxados ou empurrados manualmente para transporte de mercadorias, bagagens ou ferramentas.",,https://traffic-rules.com/pt-jp/livro/traffic-signs-1#additional-a0080-additional-handcarts,47
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/additional/A0110-additional-cyclists.png,Para ciclistas,Ciclista,,,,"O sinal suplementar para ciclistas é um painel colocado abaixo de uma placa de trânsito principal para indicar que a regra, aviso ou instrução se aplica especificamente a ciclistas. Ele limita o alcance da placa principal somente aos usuários de bicicleta, garantindo que outros usuários da via não sejam afetados, a menos que indicado separadamente. Exemplo: Proibido entrar + para ciclistas = ciclistas não podem entrar, mas o restante do tráfego pode passar.",,https://traffic-rules.com/pt-jp/livro/traffic-signs-1#additional-a0110-additional-cyclists,48
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/additional/A0180-additional-motorcycles.png,Para motocicletas,Motocicleta,,,,"O sinal suplementar para motocicletas é um painel de trânsito colocado abaixo de uma placa principal para indicar que a regra, proibição ou advertência se aplica especificamente a motocicletas. Esse sinal é direcionado aos motociclistas, ajudando a regular seu comportamento, advertir sobre riscos específicos ou conceder/restringir acesso em certas áreas. Uma motocicleta é um veículo motorizado de duas rodas (com ou sem sidecar), legalmente distinto de: ciclomotores, speed pedelecs, carros ou caminhões.",,https://traffic-rules.com/pt-jp/livro/traffic-signs-1#additional-a0180-additional-motorcycles,49
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/additional/A0210-additional-cars.png,Para carros,Carro,,,,"O sinal suplementar para carros é um painel colocado abaixo de uma placa de trânsito principal para indicar que a instrução, proibição ou aviso se aplica especificamente a carros de passeio. Um carro, neste contexto, normalmente refere-se a: veículos de passeio padrão (sedãs, hatchbacks, SUVs). Não inclui: motocicletas, caminhões, ônibus, ciclomotores ou bicicletas.",,https://traffic-rules.com/pt-jp/livro/traffic-signs-1#additional-a0210-additional-cars,50
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/additional/A0430-additional-trucks.png,Para caminhões,Caminhão,,,,"O sinal suplementar para caminhões é um painel de trânsito colocado abaixo de uma placa principal para indicar que a instrução, restrição ou permissão se aplica especificamente a caminhões. Inclui caminhões leves, veículos de carga pesada (VLCs), carretas articuladas e caminhões de entrega.",,https://traffic-rules.com/pt-jp/livro/traffic-signs-1#additional-a0430-additional-trucks,51
https://traffic-rules.com/img/traffic-rules/Traffic%20signs/jp/additional/A0450-additional-weight.png,Para caminhões com peso,Caminhão; Limite de peso,,,,O sinal suplementar para caminhões com peso é um painel de trânsito colocado abaixo de uma placa principal para indicar que a instrução ou restrição se aplica especificamente a caminhões que excedam determinado peso.,,https://traffic-rules.com/pt-jp/livro/traffic-signs-1#additional-a0450-additional-weight,52
